time,level,current_num_users_on_floor,current_num_users_unable_to_find_seat,current_num_users_didnt_get_preferred_seat,current_num_seats_choped,satisfaction_rate,occupancy_rate(level)
2023-04-12 09:00:00,5,18,0,0,0,1.0,0.07142857142857142
2023-04-12 09:30:00,5,18,0,0,0,1.0,0.07142857142857142
2023-04-12 10:00:00,5,25,0,0,0,1.0,0.0992063492063492
2023-04-12 10:30:00,5,25,0,0,0,1.0,0.0992063492063492
2023-04-12 11:00:00,5,38,0,0,9,1.0,0.15079365079365079
2023-04-12 11:30:00,5,38,0,0,9,1.0,0.15079365079365079
2023-04-12 12:00:00,5,46,0,0,17,1.0,0.18253968253968253
2023-04-12 12:30:00,5,46,0,0,17,1.0,0.18253968253968253
2023-04-12 13:00:00,5,55,0,0,10,1.0,0.21825396825396826
2023-04-12 13:30:00,5,55,0,0,10,1.0,0.21825396825396826
2023-04-12 14:00:00,5,61,0,0,14,1.0,0.24206349206349206
2023-04-12 14:30:00,5,61,0,0,14,1.0,0.24206349206349206
2023-04-12 15:00:00,5,61,0,0,5,1.0,0.24206349206349206
2023-04-12 15:30:00,5,61,0,0,5,1.0,0.24206349206349206
2023-04-12 16:00:00,5,68,0,0,6,1.0,0.2698412698412698
2023-04-12 16:30:00,5,68,0,0,6,1.0,0.2698412698412698
2023-04-12 17:00:00,5,59,0,0,7,1.0,0.23412698412698413
2023-04-12 17:30:00,5,59,0,0,7,1.0,0.23412698412698413
2023-04-12 18:00:00,5,46,0,0,8,1.0,0.18253968253968253
2023-04-12 18:30:00,5,46,0,0,8,1.0,0.18253968253968253
2023-04-12 19:00:00,5,38,0,0,11,1.0,0.15079365079365079
2023-04-12 19:30:00,5,38,0,0,11,1.0,0.15079365079365079
2023-04-12 20:00:00,5,24,0,0,6,1.0,0.09523809523809523
2023-04-12 20:30:00,5,24,0,0,6,1.0,0.09523809523809523
2023-04-12 21:00:00,5,0,0,0,0,1.0,0.0
