seat_pref_dict,count
"{'Discussion Cubicles': 4.0, 'Windowed Seats': 4.0, 'Diagonal Seats': 4.0, 'Cubicle seats': 4.0, '4-man tables': 4.0, '8-man tables': 4.0, 'Soft seats': 4.0, 'Sofa': 4.0, 'Moveable seats': 4.0}",5
"{'Discussion Cubicles': 3.0, 'Windowed Seats': 3.0, 'Diagonal Seats': 3.0, 'Cubicle seats': 3.0, '4-man tables': 3.0, '8-man tables': 3.0, 'Soft seats': 3.0, 'Sofa': 3.0, 'Moveable seats': 3.0}",5
"{'Discussion Cubicles': 5.0, 'Windowed Seats': 5.0, 'Diagonal Seats': 5.0, 'Cubicle seats': 5.0, '4-man tables': 5.0, '8-man tables': 5.0, 'Soft seats': 5.0, 'Sofa': 5.0, 'Moveable seats': 5.0}",3
"{'Discussion Cubicles': 2.0, 'Windowed Seats': 3.0, 'Diagonal Seats': 3.0, 'Cubicle seats': 3.0, '4-man tables': 3.0, '8-man tables': 3.0, 'Soft seats': 1.0, 'Sofa': 1.0, 'Moveable seats': 3.0}",1
"{'Discussion Cubicles': 3.0, 'Windowed Seats': 5.0, 'Diagonal Seats': 4.0, 'Cubicle seats': 4.0, '4-man tables': 3.0, '8-man tables': 2.0, 'Soft seats': 3.0, 'Sofa': 3.0, 'Moveable seats': 2.0}",1
"{'Discussion Cubicles': 1.0, 'Windowed Seats': 5.0, 'Diagonal Seats': 2.0, 'Cubicle seats': 4.0, '4-man tables': 3.0, '8-man tables': 3.0, 'Soft seats': 1.0, 'Sofa': 1.0, 'Moveable seats': 2.0}",1
"{'Discussion Cubicles': 5.0, 'Windowed Seats': 2.0, 'Diagonal Seats': 4.0, 'Cubicle seats': 4.0, '4-man tables': 3.0, '8-man tables': 3.0, 'Soft seats': 4.0, 'Sofa': 3.0, 'Moveable seats': 3.0}",1
"{'Discussion Cubicles': 4.0, 'Windowed Seats': 4.0, 'Diagonal Seats': 3.0, 'Cubicle seats': 4.0, '4-man tables': 5.0, '8-man tables': 4.0, 'Soft seats': 4.0, 'Sofa': 4.0, 'Moveable seats': 4.0}",1
"{'Discussion Cubicles': 4.0, 'Windowed Seats': 3.0, 'Diagonal Seats': 4.0, 'Cubicle seats': 5.0, '4-man tables': 4.0, '8-man tables': 4.0, 'Soft seats': 3.0, 'Sofa': 4.0, 'Moveable seats': 2.0}",1
"{'Discussion Cubicles': 2.0, 'Windowed Seats': 3.0, 'Diagonal Seats': 3.0, 'Cubicle seats': 2.0, '4-man tables': 2.0, '8-man tables': 2.0, 'Soft seats': 2.0, 'Sofa': 2.0, 'Moveable seats': 1.0}",1
"{'Discussion Cubicles': 3.0, 'Windowed Seats': 3.0, 'Diagonal Seats': 3.0, 'Cubicle seats': 3.0, '4-man tables': 3.0, '8-man tables': 3.0, 'Soft seats': 2.0, 'Sofa': 3.0, 'Moveable seats': 3.0}",1
"{'Discussion Cubicles': 3.0, 'Windowed Seats': 4.0, 'Diagonal Seats': 3.0, 'Cubicle seats': 1.0, '4-man tables': 1.0, '8-man tables': 1.0, 'Soft seats': 3.0, 'Sofa': 1.0, 'Moveable seats': 1.0}",1
"{'Discussion Cubicles': 3.0, 'Windowed Seats': 3.0, 'Diagonal Seats': 3.0, 'Cubicle seats': 4.0, '4-man tables': 1.0, '8-man tables': 1.0, 'Soft seats': 4.0, 'Sofa': 4.0, 'Moveable seats': 1.0}",1
"{'Discussion Cubicles': 5.0, 'Windowed Seats': 3.0, 'Diagonal Seats': 4.0, 'Cubicle seats': 4.0, '4-man tables': 4.0, '8-man tables': 3.0, 'Soft seats': 4.0, 'Sofa': 4.0, 'Moveable seats': 3.0}",1
